,date,open,high,low,close,volumn,tic,openinterest,day
701,2020-10-05,103.33,104.08,102.27,98.56,2863200,AXP,0,0
702,2020-10-06,105.01,105.29,101.32,96.54,3309200,AXP,0,1
703,2020-10-07,102.81,104.15,102.39,98.08,3048400,AXP,0,2
704,2020-10-08,104.33,106.14,104.06,101.04,2922600,AXP,0,3
705,2020-10-09,105.99,107.21,105.24,101.31,3511300,AXP,0,4
706,2020-10-12,106.46,107.01,106.0,101.57,2626700,AXP,0,0
707,2020-10-13,105.89,106.59,104.76,100.04,2602600,AXP,0,1
708,2020-10-14,105.38,106.27,104.76,99.85,2826300,AXP,0,2
709,2020-10-15,103.44,104.89,103.02,99.49,2699300,AXP,0,3
710,2020-10-16,104.65,105.68,104.2,99.95,2394300,AXP,0,4
711,2020-10-19,105.13,105.22,102.25,97.62,3196500,AXP,0,0
712,2020-10-20,102.94,104.61,102.83,98.26,2954700,AXP,0,1
713,2020-10-21,103.17,103.39,101.36,96.63,2588400,AXP,0,2
714,2020-10-22,101.7,104.86,101.57,99.83,3748800,AXP,0,3
715,2020-10-23,100.63,103.64,100.0,96.2,8921200,AXP,0,4
716,2020-10-26,99.77,100.1,95.78,92.3,5731500,AXP,0,0
717,2020-10-27,97.62,97.7,94.9,90.44,3780300,AXP,0,1
718,2020-10-28,91.96,93.57,91.0,87.27,7037800,AXP,0,2
719,2020-10-29,91.41,92.23,90.13,86.76,5419500,AXP,0,3
720,2020-10-30,90.8,91.32,89.11,86.92,4736300,AXP,0,4
721,2020-11-02,92.96,94.13,92.27,88.98,3572900,AXP,0,0
722,2020-11-03,94.75,96.85,94.4,91.74,4004300,AXP,0,1
723,2020-11-04,94.0,97.82,92.86,91.84,4545500,AXP,0,2
724,2020-11-05,97.21,98.32,96.84,93.47,4197300,AXP,0,3
725,2020-11-06,98.52,98.64,96.27,92.12,3126300,AXP,0,4
726,2020-11-09,110.54,119.81,110.19,111.82,17261700,AXP,0,0
727,2020-11-10,118.59,119.89,115.12,110.47,7056800,AXP,0,1
728,2020-11-11,115.93,116.0,110.3,105.86,5642700,AXP,0,2
729,2020-11-12,109.82,112.12,109.55,105.85,4941200,AXP,0,3
730,2020-11-13,112.34,115.64,112.21,109.55,4811500,AXP,0,4
731,2020-11-16,119.1,120.39,116.75,113.06,5339100,AXP,0,0
732,2020-11-17,116.97,117.79,114.14,110.97,4023200,AXP,0,1
733,2020-11-18,116.94,118.76,114.19,108.84,3264300,AXP,0,2
734,2020-11-19,113.78,114.8,112.53,108.74,3249800,AXP,0,3
735,2020-11-20,113.74,114.54,111.9,107.26,3702300,AXP,0,4
736,2020-11-23,114.24,116.78,113.72,110.6,3022900,AXP,0,0
737,2020-11-24,119.0,120.84,117.89,114.7,6163400,AXP,0,1
738,2020-11-25,119.5,120.98,118.25,114.88,4646600,AXP,0,2
739,2020-11-27,120.53,121.69,119.79,114.89,2447700,AXP,0,4
740,2020-11-30,120.03,121.48,118.0,112.98,3517700,AXP,0,0
741,2020-12-01,120.32,122.57,119.85,114.26,3583400,AXP,0,1
742,2020-12-02,119.28,122.85,118.9,116.54,3271900,AXP,0,2
743,2020-12-03,122.85,123.95,122.12,117.3,4285100,AXP,0,3
744,2020-12-04,124.35,125.32,123.85,119.13,5048600,AXP,0,4
745,2020-12-07,124.51,124.87,122.63,118.08,4253700,AXP,0,0
746,2020-12-08,122.47,124.55,122.02,117.68,3623000,AXP,0,1
747,2020-12-09,123.28,123.96,121.01,115.93,3622800,AXP,0,2
748,2020-12-10,120.72,122.13,119.7,116.08,2818800,AXP,0,3
749,2020-12-11,120.11,120.5,118.84,114.54,2942800,AXP,0,4
750,2020-12-14,121.73,121.79,116.65,111.81,5336300,AXP,0,0
751,2020-12-15,118.79,119.31,115.56,113.47,4528900,AXP,0,1
752,2020-12-16,118.93,119.59,118.28,113.37,2943700,AXP,0,2
753,2020-12-17,119.41,119.67,118.46,113.35,3746700,AXP,0,3
754,2020-12-18,118.59,119.36,116.65,111.95,8394100,AXP,0,4
755,2020-12-21,115.77,118.0,113.72,110.9,4528300,AXP,0,0
756,2020-12-22,116.19,116.26,114.38,109.13,3632300,AXP,0,1
757,2020-12-23,115.78,118.19,115.78,111.42,2725200,AXP,0,2
758,2020-12-24,116.93,117.44,115.82,111.8,707000,AXP,0,3
759,2020-12-28,118.05,119.35,117.6,112.76,1878700,AXP,0,0
760,2020-12-29,119.24,119.35,118.0,112.55,1860400,AXP,0,1
761,2020-12-30,118.25,119.95,118.15,113.78,1954200,AXP,0,2
762,2020-12-31,119.71,121.06,119.16,115.19,1747800,AXP,0,3
763,2021-01-04,121.3,121.8,116.85,112.46,3472100,AXP,0,0
764,2021-01-05,118.26,119.28,117.1,113.06,2112700,AXP,0,1
765,2021-01-06,121.0,124.73,120.81,117.24,5861500,AXP,0,2
766,2021-01-07,124.1,125.69,117.35,116.31,8696600,AXP,0,3
767,2021-01-08,122.07,122.2,119.52,116.43,2934500,AXP,0,4
768,2021-01-11,120.42,121.41,119.39,115.74,3311000,AXP,0,0
769,2021-01-12,122.0,122.32,120.72,116.27,2671300,AXP,0,1
770,2021-01-13,121.6,123.89,121.16,117.02,3678300,AXP,0,2
771,2021-01-14,122.65,124.5,122.09,118.34,3404700,AXP,0,3
772,2021-01-15,122.48,122.86,121.71,116.78,3948200,AXP,0,4
773,2021-01-19,125.49,128.06,124.24,121.18,5818500,AXP,0,1
774,2021-01-20,127.19,129.54,127.07,123.27,4090200,AXP,0,2
775,2021-01-21,128.29,128.89,126.1,121.83,3654900,AXP,0,3
776,2021-01-22,125.74,127.06,124.88,120.6,2954800,AXP,0,4
777,2021-01-25,124.24,125.0,120.32,115.82,6156700,AXP,0,0
778,2021-01-26,118.75,120.29,115.72,111.04,8932500,AXP,0,1
779,2021-01-27,114.86,116.8,112.1,109.08,5816900,AXP,0,2
780,2021-01-28,117.43,120.38,116.6,113.74,5788500,AXP,0,3
781,2021-01-29,117.74,118.39,115.81,111.15,5059300,AXP,0,4
782,2021-02-01,117.7,119.29,117.0,111.89,3359800,AXP,0,0
783,2021-02-02,118.29,122.42,118.28,115.39,4036700,AXP,0,1
784,2021-02-03,120.08,120.98,119.56,115.15,2782500,AXP,0,2
785,2021-02-04,120.99,125.41,120.8,119.41,3915900,AXP,0,3
786,2021-02-05,126.62,127.34,125.63,120.73,3184200,AXP,0,4
787,2021-02-08,126.87,128.4,126.75,122.36,3360900,AXP,0,0
788,2021-02-09,127.65,127.66,126.2,121.11,2175000,AXP,0,1
789,2021-02-10,127.63,128.7,126.84,122.59,2929100,AXP,0,2
790,2021-02-11,127.45,129.12,126.98,122.67,3733000,AXP,0,3
791,2021-02-12,128.19,130.46,128.0,123.92,2873300,AXP,0,4
792,2021-02-16,128.91,130.91,128.25,124.94,2730600,AXP,0,1
793,2021-02-17,130.08,131.16,128.44,122.91,3088800,AXP,0,2
794,2021-02-18,127.49,128.83,126.08,122.84,2269700,AXP,0,3
795,2021-02-19,129.49,133.36,129.49,125.92,3419500,AXP,0,4
796,2021-02-22,131.51,136.47,131.37,129.97,3923100,AXP,0,0
797,2021-02-23,136.47,138.31,134.28,130.92,4814400,AXP,0,1
798,2021-02-24,137.2,140.95,136.81,133.74,4099500,AXP,0,2
799,2021-02-25,140.62,140.64,136.37,131.05,3607500,AXP,0,3
800,2021-02-26,137.1,138.25,133.79,129.31,3654800,AXP,0,4
801,2021-03-01,138.18,139.77,138.12,132.61,2972100,AXP,0,0
802,2021-03-02,138.24,140.19,138.08,133.13,2929100,AXP,0,1
803,2021-03-03,140.0,144.25,140.0,136.32,4393700,AXP,0,2
804,2021-03-04,142.15,144.11,139.95,136.41,4461700,AXP,0,3
805,2021-03-05,144.66,147.96,142.08,140.85,5048300,AXP,0,4
806,2021-03-08,147.28,151.46,146.72,143.66,4283400,AXP,0,0
807,2021-03-09,148.58,149.08,144.11,138.72,5806100,AXP,0,1
808,2021-03-10,145.7,148.29,145.44,140.3,3049800,AXP,0,2
809,2021-03-11,146.0,147.82,145.13,141.26,3147700,AXP,0,3
810,2021-03-12,149.1,150.64,148.02,142.01,2420100,AXP,0,4
811,2021-03-15,148.04,148.92,146.03,140.53,2586300,AXP,0,0
812,2021-03-16,147.25,147.26,142.82,137.0,4031000,AXP,0,1
813,2021-03-17,144.76,144.82,141.9,138.32,3278500,AXP,0,2
814,2021-03-18,145.49,145.5,142.07,136.31,3173600,AXP,0,3
815,2021-03-19,141.9,141.94,139.74,134.52,5098300,AXP,0,4
816,2021-03-22,139.49,140.99,138.81,133.8,2274100,AXP,0,0
817,2021-03-23,138.94,139.5,135.13,130.1,4905400,AXP,0,1
818,2021-03-24,137.97,140.04,137.61,132.34,2638900,AXP,0,2
819,2021-03-25,137.95,142.53,136.76,136.03,2766400,AXP,0,3
820,2021-03-26,143.74,143.98,141.05,137.41,2687500,AXP,0,4
821,2021-03-29,141.98,143.07,140.31,136.11,2220600,AXP,0,0
822,2021-03-30,142.9,144.48,142.61,137.18,2034500,AXP,0,1
823,2021-03-31,142.98,143.26,141.35,135.63,2957300,AXP,0,2
824,2021-04-01,142.34,144.63,142.21,138.63,2629200,AXP,0,3
825,2021-04-05,146.91,147.48,145.61,140.06,2960100,AXP,0,0
826,2021-04-06,145.98,146.53,144.38,140.15,2851200,AXP,0,1
827,2021-04-07,147.42,148.36,145.72,141.09,2399500,AXP,0,2
828,2021-04-08,146.8,147.16,144.68,141.0,2295600,AXP,0,3
829,2021-04-09,148.21,148.44,146.69,141.71,1783400,AXP,0,4
830,2021-04-12,147.26,147.77,146.41,141.51,1869000,AXP,0,0
831,2021-04-13,146.55,146.6,143.84,139.99,2132100,AXP,0,1
832,2021-04-14,145.81,148.75,145.7,141.36,2141800,AXP,0,2
833,2021-04-15,147.51,148.59,145.5,142.43,2901200,AXP,0,3
834,2021-04-16,149.71,150.45,148.69,143.83,3480000,AXP,0,4
835,2021-04-19,149.19,149.51,147.8,142.44,2259100,AXP,0,0
836,2021-04-20,147.21,147.5,144.51,139.14,2526700,AXP,0,1
837,2021-04-21,144.0,147.38,143.02,141.13,2161700,AXP,0,2
838,2021-04-22,147.57,148.92,145.87,141.11,3247300,AXP,0,3
839,2021-04-23,141.54,144.98,140.68,138.4,6395300,AXP,0,4
840,2021-04-26,146.8,151.12,145.56,144.16,4821100,AXP,0,0
841,2021-04-27,150.7,150.88,148.85,144.18,2692100,AXP,0,1
842,2021-04-28,150.68,153.46,149.44,146.27,2584500,AXP,0,2
843,2021-04-29,153.85,155.08,152.09,148.28,2636000,AXP,0,3
844,2021-04-30,153.6,154.04,152.48,147.05,2712700,AXP,0,4
845,2021-05-03,154.59,156.05,154.01,148.44,2726200,AXP,0,0
846,2021-05-04,154.48,155.74,152.84,148.18,3025100,AXP,0,1
847,2021-05-05,154.87,156.73,154.32,149.97,3001600,AXP,0,2
848,2021-05-06,156.86,157.51,154.02,150.44,2798800,AXP,0,3
849,2021-05-07,155.61,159.26,155.34,152.45,2617800,AXP,0,4
850,2021-05-10,159.75,160.69,158.5,152.16,2987600,AXP,0,0
851,2021-05-11,156.46,157.79,153.65,148.09,3900100,AXP,0,1
852,2021-05-12,154.72,155.9,152.07,146.04,3487400,AXP,0,2
853,2021-05-13,152.41,154.81,151.81,147.75,2269700,AXP,0,3
854,2021-05-14,155.39,157.94,154.53,150.69,1892700,AXP,0,4
855,2021-05-17,157.05,157.38,155.88,150.42,1541400,AXP,0,0
856,2021-05-18,157.36,158.3,154.86,148.62,2417800,AXP,0,1
857,2021-05-19,152.07,154.78,151.72,148.37,3526800,AXP,0,2
858,2021-05-20,155.47,156.25,153.93,149.14,3031100,AXP,0,3
859,2021-05-21,156.7,158.81,156.35,150.43,3424100,AXP,0,4
860,2021-05-24,157.7,158.91,156.95,152.12,1956900,AXP,0,0
861,2021-05-25,159.07,160.08,157.74,151.52,2484200,AXP,0,1
862,2021-05-26,158.16,159.38,157.37,152.07,3731600,AXP,0,2
863,2021-05-27,159.98,160.29,158.85,153.18,2828400,AXP,0,3
864,2021-05-28,160.26,160.64,158.86,153.55,2436400,AXP,0,4
865,2021-06-01,162.51,164.11,161.55,157.03,3827800,AXP,0,1
866,2021-06-02,164.61,165.69,163.32,157.38,3384600,AXP,0,2
867,2021-06-03,163.68,165.42,162.82,157.76,2454800,AXP,0,3
868,2021-06-04,165.0,165.73,163.32,158.22,3239300,AXP,0,4
869,2021-06-07,165.63,166.65,165.37,159.1,2516400,AXP,0,0
870,2021-06-08,164.86,167.14,163.63,159.67,2486300,AXP,0,1
871,2021-06-09,165.27,166.14,163.8,157.35,2700100,AXP,0,2
872,2021-06-10,165.18,165.21,162.12,155.57,3024500,AXP,0,3
873,2021-06-11,163.0,164.54,162.51,157.75,1630100,AXP,0,4
874,2021-06-14,164.3,164.88,163.11,157.08,2125700,AXP,0,0
875,2021-06-15,163.93,166.9,163.8,159.44,3726100,AXP,0,1
876,2021-06-16,165.78,166.65,164.27,157.91,3281300,AXP,0,2
877,2021-06-17,165.97,166.0,160.53,155.47,4194400,AXP,0,3
878,2021-06-18,158.7,159.67,157.25,151.67,6900200,AXP,0,4
879,2021-06-21,160.08,165.21,159.13,158.13,3681400,AXP,0,0
880,2021-06-22,163.42,165.24,162.46,157.74,2697600,AXP,0,1
881,2021-06-23,165.03,166.86,164.79,159.2,2327600,AXP,0,2
882,2021-06-24,167.06,168.58,166.41,161.3,2417100,AXP,0,3
883,2021-06-25,168.45,170.41,168.45,162.49,9186000,AXP,0,4
884,2021-06-28,168.62,168.85,163.2,158.01,3433400,AXP,0,0
885,2021-06-29,165.57,166.32,163.23,157.5,2785900,AXP,0,1
886,2021-06-30,163.7,166.16,163.7,158.44,2331800,AXP,0,2
887,2021-07-01,165.65,167.37,164.69,160.5,2685900,AXP,0,3
888,2021-07-02,167.7,168.98,167.01,162.0,2028700,AXP,0,4
889,2021-07-06,172.54,172.54,167.8,163.02,4688100,AXP,0,1
890,2021-07-07,169.6,174.76,169.38,164.38,3998900,AXP,0,2
891,2021-07-08,166.95,170.04,165.59,161.04,4628400,AXP,0,3
